Generation,Average_Fitness,Best_Fit,Worst_Fit
1,98.62,100,95
2,96.56,100,94
3,93.92,97,89
4,91.1,95,87
5,87.92,92,85
6,85.58,88,82
7,82.54,86,77
8,78.94,84,74
9,75.64,79,73
10,73.54,77,72
11,71.92,74,70
12,70.56,72,68
13,69.24,70,68
14,67.9,70,64
15,65.9,68,64
16,64.36,66,64
17,64.0,64,64
18,63.94,64,63
19,63.54,64,63
20,63.14,64,63
21,62.72,63,61
22,61.92,63,61
23,61.12,63,61
24,61.0,61,61
25,61.0,61,61
26,60.88,61,60
27,60.48,61,60
28,60.08,61,60
29,60.0,60,60
30,59.7,60,59
31,59.3,60,59
32,59.0,59,59
33,59.0,59,59
34,59.0,59,59
35,59.0,59,59
36,59.0,59,59
37,59.0,59,59
38,59.0,59,59
39,59.0,59,59
40,59.0,59,59
41,59.0,59,59
42,59.0,59,59
43,59.0,59,59
44,59.0,59,59
45,59.0,59,59
46,59.0,59,59
47,59.0,59,59
48,59.0,59,59
49,59.0,59,59
50,59.0,59,59
51,59.0,59,59
52,59.0,59,59
53,59.0,59,59
54,59.0,59,59
55,59.0,59,59
56,59.0,59,59
57,59.0,59,59
58,59.0,59,59
59,59.0,59,59
60,59.0,59,59
61,59.0,59,59
62,59.0,59,59
63,59.0,59,59
64,59.0,59,59
65,59.0,59,59
66,59.0,59,59
67,59.0,59,59
68,59.0,59,59
69,59.0,59,59
70,59.0,59,59
71,59.0,59,59
72,59.0,59,59
73,59.0,59,59
74,59.0,59,59
75,59.0,59,59
76,59.0,59,59
77,59.0,59,59
78,59.0,59,59
79,59.0,59,59
80,59.0,59,59
81,59.0,59,59
82,59.0,59,59
83,59.0,59,59
84,59.0,59,59
85,59.0,59,59
86,59.0,59,59
87,59.0,59,59
88,59.0,59,59
89,59.0,59,59
90,59.0,59,59
91,59.0,59,59
92,59.0,59,59
93,59.0,59,59
94,59.0,59,59
95,59.0,59,59
96,59.0,59,59
97,59.0,59,59
98,59.0,59,59
99,59.0,59,59
100,59.0,59,59
101,59.0,59,59
102,59.0,59,59
103,59.0,59,59
104,59.0,59,59
105,59.0,59,59
106,59.0,59,59
107,59.0,59,59
108,59.0,59,59
109,59.0,59,59
110,59.0,59,59
111,59.0,59,59
112,59.0,59,59
113,59.0,59,59
114,59.0,59,59
115,59.0,59,59
116,59.0,59,59
117,59.0,59,59
118,59.0,59,59
119,59.0,59,59
120,59.0,59,59
121,59.0,59,59
122,59.0,59,59
123,59.0,59,59
124,59.0,59,59
125,59.0,59,59
126,59.0,59,59
127,59.0,59,59
128,59.0,59,59
129,59.0,59,59
130,59.0,59,59
131,59.0,59,59
132,59.0,59,59
133,59.0,59,59
134,59.0,59,59
135,59.0,59,59
136,59.0,59,59
137,59.0,59,59
138,59.0,59,59
139,59.0,59,59
140,59.0,59,59
141,59.0,59,59
142,59.0,59,59
143,59.0,59,59
144,59.0,59,59
145,59.0,59,59
146,59.0,59,59
147,59.0,59,59
148,59.0,59,59
149,59.0,59,59
150,59.0,59,59
151,59.0,59,59
152,59.0,59,59
153,59.0,59,59
154,59.0,59,59
155,59.0,59,59
156,59.0,59,59
157,59.0,59,59
158,59.0,59,59
159,59.0,59,59
160,59.0,59,59
161,59.0,59,59
162,59.0,59,59
163,59.0,59,59
164,59.0,59,59
165,59.0,59,59
166,59.0,59,59
167,59.0,59,59
168,59.0,59,59
169,59.0,59,59
170,59.0,59,59
171,59.0,59,59
172,59.0,59,59
173,59.0,59,59
174,59.0,59,59
175,59.0,59,59
176,59.0,59,59
177,59.0,59,59
178,59.0,59,59
179,59.0,59,59
180,59.0,59,59
181,59.0,59,59
182,59.0,59,59
183,59.0,59,59
184,59.0,59,59
185,59.0,59,59
186,59.0,59,59
187,59.0,59,59
188,59.0,59,59
189,59.0,59,59
190,59.0,59,59
191,59.0,59,59
192,59.0,59,59
193,59.0,59,59
194,59.0,59,59
195,59.0,59,59
196,59.0,59,59
197,59.0,59,59
198,59.0,59,59
199,59.0,59,59
200,59.0,59,59
